text,label
"Get rich quick! Invest Rs 1,000 and get Rs 10,000 in 24 hours through algorithmic stock trading bot. Send money to trade-bot@upi.",1
"Urgent warning from Axis Bank: Unusual login detected from Moscow, Russia. If this wasn't you, lock your account immediately at http://axis-secure-login.net",1
"Dear beneficiary, PM Kisan Samman Nidhi installment of Rs 2000 is stuck due to incorrect bank IFSC. Update now at http://pmkisan-gov-update.site",1
"Your Airtel SIM card KYC verification is pending. Please recharge with Rs 10 on http://airtel-kyc-verify.pw to avoid outgoing call suspension.",1
"Dear user, your Facebook account will be permanently deleted due to copyright violation. Appeal within 12 hours at http://facebook-copyright-appeal.cc",1
"URGENT: Win cash prize! Scan this QR code using Google Pay or PhonePe to receive Rs 5000 instant cashback in your bank account.",1
"Aapke account se 25,000 rupaye debit ho gaye hain. Agar aapne nahi kiya to is number par call karein 8899001122 aur apna OTP batayein.",1
"Credit Card Department: Your credit limit has been increased from 50,000 to 3,00,000 INR. Activate new limit by clicking http://card-limit-boost.com",1
"Dear user, you have an unpaid traffic challan of Rs 1,000 for vehicle DL01AB1234. Pay immediately at http://echallan-parivahan-pay.info to avoid court summons.",1
"Urgent: Your EPF provident fund claim of Rs 65,000 has been approved. Submit your bank account details and OTP at http://epfindia-claim-portal.top",1
"Dear customer, congratulations! Your mobile number won 5,00,000 INR in Diwali Bumper Draw. Contact manager at 9988776655 with promo code WIN500.",1
"Dear customer, your HDFC bank debit card is expiring this month. Request new zero-fee card by confirming OTP and PIN at http://hdfc-card-renew.site",1
"Aapka ration card block ho gaya hai. Dobara chalu karwane ke liye is link par form bharein http://ration-card-online.org aur fees jama karein.",1
"Dear traveler, your flight ticket has been cancelled due to technical error. Click http://airline-refund-ticket.com/refund to claim instant 100% refund.",1
"Dear user, Rs 15,000 has been credited to your Paytm wallet from Unknown. Click http://paytm-accept-money.xyz to accept or money will be reversed.",1
"Emergency: Hospital billing department. Your relative was admitted in casualty. Please transfer 10,000 advance immediately to hospital-desk@upi.",1
"Dear customer, your electricity meter inspection failed. Pay penalty of Rs 2,500 within 2 hours or power will be cut off. Call 9811223344.",1
"Bank Fraud Alert: Someone requested to change registered mobile number on your Kotak account. If not requested by you, call immediately at 9871234560.",1
"Your Amazon order #402-8921892 has been shipped via BlueDart. Track package at https://www.amazon.in/orders. Delivery expected tomorrow by 8 PM.",0
"Your OTP for logging into Swiggy is 739218. Valid for 5 minutes. Do not share this OTP with anyone.",0
"Dear Customer, INR 1,500.00 debited from your HDFC Bank account ending 4821 on 24-AUG-26 at RELIANCE RETAIL. Available balance: INR 34,210.50.",0
"Hi Rahul, are we still meeting for coffee at Starbucks at 4 PM today? Let me know if you are running late.",0
"Your Uber ride is arriving in 3 mins. Driver: Ramesh (Maruti Dzire, DL 3C AY 4521). PIN for the ride is 8192.",0
"Dear Customer, your electricity bill of Rs 1,420 for month AUG-26 is generated. Due date is 05-SEP-26. View bill on official BSES portal or app.",0
"Your appointment with Dr. Sharma at Apollo Clinic is confirmed for tomorrow, Aug 25 at 11:30 AM. Please arrive 10 minutes early.",0
"Reminder: Your monthly gym membership at Cult.fit is due for renewal on 01-Sep. Manage your subscription in the Cult.fit app.",0
"Dear Student, your semester grade report for Summer 2026 has been published on the university student portal. Login to view your grades.",0
"Hey, can you please send me the presentation slides for tomorrow's team sync? Thanks!",0
"Your food order from Behrouz Biryani is being prepared. Estimated delivery time: 35 minutes. Track in the Zomato app.",0
"Dear Customer, your salary of INR 75,000.00 has been credited to your ICICI Bank account ending 9012 on 31-JUL-26. Ref: SAL/JUL26.",0
"Your Indigo flight 6E-204 from Delhi to Bangalore is on schedule. Web check-in is now open at https://www.goindigo.in",0
"Hi dad, I reached Mumbai safely. The flight was smooth. Heading to the hotel now, will call you in an hour.",0
"Your OTP for verifying your email address on GitHub is 392811. If you did not request this, please review your account security.",0
"Dear Customer, Thank you for visiting Reliance Digital. Your invoice #INV-98219 has been sent to your registered email address.",0
"Hi team, please find the minutes of today's architecture review meeting in the attached shared Google Doc. Let me know if anything was missed.",0
"Your Zepto grocery order of 6 items has been packed and is out for delivery. Arriving in 8 minutes.",0
"Dear Customer, your mobile postpaid bill for 9810012345 is Rs 589.90. Auto-pay is scheduled for 28-AUG-26 from your registered bank account.",0
"Hey Priya, happy birthday! Wishing you a wonderful year ahead filled with happiness and success. Let's catch up this weekend!",0
"Your Urban Company home cleaning service is scheduled for Saturday, 29-Aug at 10:00 AM. Partner: Deepak Kumar.",0
"Dear Customer, 500 reward points have been credited to your IOCL XtraRewards card for your recent fuel purchase of Rs 2,000.",0
"Hi Arjun, did you get a chance to review the pull request on the auth-service repo? We need to merge it before tomorrow's release.",0
"Your Flipkart order containing 'Noise Smartwatch' has been delivered. Please rate your delivery experience in the Flipkart app.",0
"Hello, this is a reminder from Max Healthcare that your dental checkup is scheduled for Thursday at 4 PM.",0
"Dear Customer, your SBI mutual fund SIP of Rs 5,000 has been successfully processed for the month of August 2026.",0
"Good morning! Just checking if we can reschedule our weekly 1-on-1 meeting to 3 PM today due to a client call.",0
"Your IRCTC ticket for Train 12952 / Mumbai Rajdhani is confirmed. Coach B3, Berth 45 (Side Lower). Departure: 16:55 from New Delhi.",0
"Dear Customer, your annual vehicle insurance policy with ICICI Lombard has been renewed successfully. Policy document sent to email.",0
"Hi mom, don't cook dinner tonight. I'm bringing pizzas on the way back from office.",0
"Your Google Cloud monthly invoice for July 2026 is now available. Amount charged: $14.20. View details in GCP Console.",0
"Dear Customer, thank you for paying your broadband bill of Rs 999. Your transaction ID is TXN89218721.",0
"Hey, are you free this Sunday for a badminton match at the community club?",0
"Your Blinkit order has been delivered at your doorstep. Thank you for shopping with us.",0
"Dear Customer, your credit card statement for period ending 15-AUG is generated. Total amount due: Rs 8,450. Minimum due: Rs 500.",0
"Hi everyone, the office will remain closed on Friday on account of the public holiday. Have a great long weekend!",0
"Your OTP for Aadhaar authentication at e-KYC service is 829103. Valid for 10 mins. UIDAI never calls to ask for OTP.",0
"Dear User, you have successfully updated your communication address in Kotak NetBanking on 22-AUG-2026.",0
"Hey Rohan, I left my notebook at your place yesterday. Can you bring it to college tomorrow?",0
"Your BookMyShow ticket for 'Inception IMAX 70mm' is confirmed. Audi 2, Seats F12-F13. Show starts at 7:30 PM.",0
"Dear Customer, your fixed deposit of Rs 1,00,000 with Axis Bank has matured. Proceeds credited to your savings account.",0
"Hi, thanks for connecting on LinkedIn. I would love to learn more about your team's work on machine learning systems.",0
"Your Tata 1mg medicine order has been verified by the pharmacist and dispatched. Expected delivery by 6 PM.",0
"Good evening, please find attached the revised budget spreadsheet for Q3. Let's discuss in tomorrow morning's standup.",0
"Dear Subscriber, your monthly Spotify Premium family plan has been renewed. Next billing date is 25-SEP-2026.",0

