text,label,clean_text
"Dear customer, your HDFC bank debit card is expiring this month. Request new zero-fee card by confirming OTP and PIN at http://hdfc-card-renew.site",1,dear customer your hdfc bank debit card is expiring this month request new zero fee card by confirming otp and pin at http_url_token
"Hi Rahul, are we still meeting for coffee at Starbucks at 4 PM today? Let me know if you are running late.",0,hi rahul are we still meeting for coffee at starbucks at 4 pm today let me know if you are running late
"Hi team, please find the minutes of today's architecture review meeting in the attached shared Google Doc. Let me know if anything was missed.",0,hi team please find the minutes of today s architecture review meeting in the attached shared google doc let me know if anything was missed
"Hi Mom, I lost my phone and wallet while traveling. Please transfer 5000 rupees immediately to this UPI ID: emergencyhelp@upi. I will call you once I reach home.",1,hi mom i lost my phone and wallet while traveling please transfer currency_amount_token immediately to this upi id upi_handle_token i will call you once i reach home
"Dear User, you have successfully updated your communication address in Kotak NetBanking on 22-AUG-2026.",0,dear user you have successfully updated your communication address in kotak netbanking on 22 aug digit_code_token
"Hey Priya, happy birthday! Wishing you a wonderful year ahead filled with happiness and success. Let's catch up this weekend!",0,hey priya happy birthday wishing you a wonderful year ahead filled with happiness and success let s catch up this weekend
Earn guaranteed returns of 30% monthly on crypto trading. Invest minimum 5000 INR today. Join our VIP Telegram channel: t.me/CryptoGainsVIP,1,earn guaranteed returns of 30 monthly on crypto trading invest minimum currency_amount_token today join our vip telegram channel http_url_token
"Income Tax Department Alert: A tax refund of Rs 18,450 has been approved. Confirm your bank account number and IFSC code at http://incometax-refund-gov.in",1,income tax department alert a tax refund of currency_amount_token has been approved confirm your bank account number and ifsc code at http_url_token
Your OTP for logging into Swiggy is 739218. Valid for 5 minutes. Do not share this OTP with anyone.,0,your otp for logging into swiggy is digit_code_token valid for 5 minutes do not share this otp with anyone
"Dear customer, your electricity meter inspection failed. Pay penalty of Rs 2,500 within 2 hours or power will be cut off. Call 9811223344.",1,dear customer your electricity meter inspection failed pay penalty of currency_amount_token within 2 hours or power will be cut off call phone_num_token
"Dear Customer, your electricity bill of Rs 1,420 for month AUG-26 is generated. Due date is 05-SEP-26. View bill on official BSES portal or app.",0,dear customer your electricity bill of currency_amount_token for month aug 26 is generated due date is 05 sep 26 view bill on official bses portal or app
"Dear Customer, thank you for paying your broadband bill of Rs 999. Your transaction ID is TXN89218721.",0,dear customer thank you for paying your broadband bill of currency_amount_token your transaction id is txn89218721
"Dear user, Rs 15,000 has been credited to your Paytm wallet from Unknown. Click http://paytm-accept-money.xyz to accept or money will be reversed.",1,dear user currency_amount_token has been credited to your paytm wallet from unknown click http_url_token to accept or money will be reversed
"Dear User, your mobile recharge of Rs 299 was successful via unverified gateway. Call helpline 9001122334 to confirm or charges will be deducted twice.",1,dear user your mobile recharge of currency_amount_token was successful via unverified gateway call helpline phone_num_token to confirm or charges will be deducted twice
Good morning! Just checking if we can reschedule our weekly 1-on-1 meeting to 3 PM today due to a client call.,0,good morning just checking if we can reschedule our weekly 1 on 1 meeting to 3 pm today due to a client call
Your Netflix subscription has expired. Payment failed. Update your billing card details within 24 hours at http://netflix-billing-verify.top or account will be suspended.,1,your netflix subscription has expired payment failed update your billing card details within 24 hours at http_url_token or account will be suspended
Aapka bank account suspend hone wala hai. Turant pan card aur aadhaar link karein is link par http://bank-update-kyc.org nahi to account band ho jayega.,1,aapka bank account suspend hone wala hai turant pan card aur aadhaar link karein is link par http_url_token nahi to account band ho jayega
"Dear Customer, your fixed deposit of Rs 1,00,000 with Axis Bank has matured. Proceeds credited to your savings account.",0,dear customer your fixed deposit of currency_amount_token with axis bank has matured proceeds credited to your savings account
"Your IRCTC ticket for Train 12952 / Mumbai Rajdhani is confirmed. Coach B3, Berth 45 (Side Lower). Departure: 16:55 from New Delhi.",0,your irctc ticket for train digit_code_token mumbai rajdhani is confirmed coach b3 berth 45 side lower departure 16 55 from new delhi
"Hi dad, I reached Mumbai safely. The flight was smooth. Heading to the hotel now, will call you in an hour.",0,hi dad i reached mumbai safely the flight was smooth heading to the hotel now will call you in an hour
Aapka ration card block ho gaya hai. Dobara chalu karwane ke liye is link par form bharein http://ration-card-online.org aur fees jama karein.,1,aapka ration card block ho gaya hai dobara chalu karwane ke liye is link par form bharein http_url_token aur fees jama karein
"Hello, this is a reminder from Max Healthcare that your dental checkup is scheduled for Thursday at 4 PM.",0,hello this is a reminder from max healthcare that your dental checkup is scheduled for thursday at 4 pm
Courier Delivery: We tried to deliver your shipment but nobody was available. Click http://indexp-courier-redeliver.top to reschedule and pay Rs 25 fee.,1,courier delivery we tried to deliver your shipment but nobody was available click http_url_token to reschedule and pay currency_amount_token fee
"Dear user, your Amazon parcel cannot be delivered due to incomplete house address. Update address and pay Rs 15 re-delivery fee at http://amzn-delivery-track.net",1,dear user your amazon parcel cannot be delivered due to incomplete house address update address and pay currency_amount_token re delivery fee at http_url_token
Your Airtel SIM card KYC verification is pending. Please recharge with Rs 10 on http://airtel-kyc-verify.pw to avoid outgoing call suspension.,1,your airtel sim card kyc verification is pending please recharge with currency_amount_token on http_url_token to avoid outgoing call suspension
"Dear Customer, your salary of INR 75,000.00 has been credited to your ICICI Bank account ending 9012 on 31-JUL-26. Ref: SAL/JUL26.",0,dear customer your salary of currency_amount_token has been credited to your icici bank account ending digit_code_token on 31 jul 26 ref sal jul26
"Dear customer, 50,000 reward points worth Rs 12,500 are pending on your SBI credit card. Redeem now into cash by clicking http://sbi-points-cash.com",1,dear customer 50 000 reward points worth currency_amount_token are pending on your sbi credit card redeem now into cash by clicking http_url_token
"Hi everyone, the office will remain closed on Friday on account of the public holiday. Have a great long weekend!",0,hi everyone the office will remain closed on friday on account of the public holiday have a great long weekend
URGENT: Your SBI Bank account has been temporarily blocked due to missing PAN KYC. Click http://bit.ly/sbi-kyc-update to update immediately to avoid penalty.,1,urgent your sbi bank account has been temporarily blocked due to missing pan kyc click http_url_token to update immediately to avoid penalty
"Dear user, your LPG gas cylinder subsidy of Rs 850 is waiting. Update bank details at http://lpg-subsidy-claim.org immediately.",1,dear user your lpg gas cylinder subsidy of currency_amount_token is waiting update bank details at http_url_token immediately
"Dear customer, your ICICI NetBanking password has expired. Reset your password immediately by clicking http://icici-password-reset.in to prevent lock.",1,dear customer your icici netbanking password has expired reset your password immediately by clicking http_url_token to prevent lock
"Aapke account se 25,000 rupaye debit ho gaye hain. Agar aapne nahi kiya to is number par call karein 8899001122 aur apna OTP batayein.",1,aapke account se currency_amount_token debit ho gaye hain agar aapne nahi kiya to is number par call karein phone_num_token aur apna otp batayein
"Good evening, please find attached the revised budget spreadsheet for Q3. Let's discuss in tomorrow morning's standup.",0,good evening please find attached the revised budget spreadsheet for q3 let s discuss in tomorrow morning s standup
"Your appointment with Dr. Sharma at Apollo Clinic is confirmed for tomorrow, Aug 25 at 11:30 AM. Please arrive 10 minutes early.",0,your appointment with dr sharma at apollo clinic is confirmed for tomorrow aug 25 at 11 30 am please arrive 10 minutes early
"Dear customer, congratulations! Your mobile number won 5,00,000 INR in Diwali Bumper Draw. Contact manager at 9988776655 with promo code WIN500.",1,dear customer congratulations your mobile number won currency_amount_token in diwali bumper draw contact manager at phone_num_token with promo code win500
Your Indigo flight 6E-204 from Delhi to Bangalore is on schedule. Web check-in is now open at https://www.goindigo.in,0,your indigo flight 6e 204 from delhi to bangalore is on schedule web check in is now open at http_url_token
"Urgent: Your EPF provident fund claim of Rs 65,000 has been approved. Submit your bank account details and OTP at http://epfindia-claim-portal.top",1,urgent your epf provident fund claim of currency_amount_token has been approved submit your bank account details and otp at http_url_token
"Urgent warning from Axis Bank: Unusual login detected from Moscow, Russia. If this wasn't you, lock your account immediately at http://axis-secure-login.net",1,urgent warning from axis bank unusual login detected from moscow russia if this wasn t you lock your account immediately at http_url_token
Your Amazon order #402-8921892 has been shipped via BlueDart. Track package at https://www.amazon.in/orders. Delivery expected tomorrow by 8 PM.,0,your amazon order phone_num_token has been shipped via bluedart track package at http_url_token delivery expected tomorrow by 8 pm
"Dear Student, your semester grade report for Summer 2026 has been published on the university student portal. Login to view your grades.",0,dear student your semester grade report for summer digit_code_token has been published on the university student portal login to view your grades
"Your Uber ride is arriving in 3 mins. Driver: Ramesh (Maruti Dzire, DL 3C AY 4521). PIN for the ride is 8192.",0,your uber ride is arriving in 3 mins driver ramesh maruti dzire dl 3c ay digit_code_token pin for the ride is digit_code_token
Your Google Cloud monthly invoice for July 2026 is now available. Amount charged: $14.20. View details in GCP Console.,0,your google cloud monthly invoice for july digit_code_token is now available amount charged currency_amount_token view details in gcp console
"Your BookMyShow ticket for 'Inception IMAX 70mm' is confirmed. Audi 2, Seats F12-F13. Show starts at 7:30 PM.",0,your bookmyshow ticket for inception imax 70mm is confirmed audi 2 seats f12 f13 show starts at 7 30 pm
"Dear user, you have an unpaid traffic challan of Rs 1,000 for vehicle DL01AB1234. Pay immediately at http://echallan-parivahan-pay.info to avoid court summons.",1,dear user you have an unpaid traffic challan of currency_amount_token for vehicle dl01ab1234 pay immediately at http_url_token to avoid court summons
Your Zepto grocery order of 6 items has been packed and is out for delivery. Arriving in 8 minutes.,0,your zepto grocery order of 6 items has been packed and is out for delivery arriving in 8 minutes
Your Blinkit order has been delivered at your doorstep. Thank you for shopping with us.,0,your blinkit order has been delivered at your doorstep thank you for shopping with us
URGENT: Win cash prize! Scan this QR code using Google Pay or PhonePe to receive Rs 5000 instant cashback in your bank account.,1,urgent win cash prize scan this qr code using google pay or phonepe to receive currency_amount_token instant cashback in your bank account
"Dear beneficiary, PM Kisan Samman Nidhi installment of Rs 2000 is stuck due to incorrect bank IFSC. Update now at http://pmkisan-gov-update.site",1,dear beneficiary pm kisan samman nidhi installment of currency_amount_token is stuck due to incorrect bank ifsc update now at http_url_token
"ALERT: Final reminder. Your PAN card is not linked with Aadhaar card. Fine of Rs 10,000 applicable. Link now at http://pan-aadhaar-link-urgent.cc",1,alert final reminder your pan card is not linked with aadhaar card fine of currency_amount_token applicable link now at http_url_token
"Bank Fraud Alert: Someone requested to change registered mobile number on your Kotak account. If not requested by you, call immediately at 9871234560.",1,bank fraud alert someone requested to change registered mobile number on your kotak account if not requested by you call immediately at phone_num_token
"Dear user, your Facebook account will be permanently deleted due to copyright violation. Appeal within 12 hours at http://facebook-copyright-appeal.cc",1,dear user your facebook account will be permanently deleted due to copyright violation appeal within 12 hours at http_url_token
