text,label,clean_text
"Urgent warning from Axis Bank: Unusual login detected from Moscow, Russia. If this wasn't you, lock your account immediately at http://axis-secure-login.net",1,urgent warning from axis bank unusual login detected from moscow russia if this wasn t you lock your account immediately at http_url_token
"Dear beneficiary, PM Kisan Samman Nidhi installment of Rs 2000 is stuck due to incorrect bank IFSC. Update now at http://pmkisan-gov-update.site",1,dear beneficiary pm kisan samman nidhi installment of currency_amount_token is stuck due to incorrect bank ifsc update now at http_url_token
Your Airtel SIM card KYC verification is pending. Please recharge with Rs 10 on http://airtel-kyc-verify.pw to avoid outgoing call suspension.,1,your airtel sim card kyc verification is pending please recharge with currency_amount_token on http_url_token to avoid outgoing call suspension
"Dear user, your Facebook account will be permanently deleted due to copyright violation. Appeal within 12 hours at http://facebook-copyright-appeal.cc",1,dear user your facebook account will be permanently deleted due to copyright violation appeal within 12 hours at http_url_token
URGENT: Win cash prize! Scan this QR code using Google Pay or PhonePe to receive Rs 5000 instant cashback in your bank account.,1,urgent win cash prize scan this qr code using google pay or phonepe to receive currency_amount_token instant cashback in your bank account
"Aapke account se 25,000 rupaye debit ho gaye hain. Agar aapne nahi kiya to is number par call karein 8899001122 aur apna OTP batayein.",1,aapke account se currency_amount_token debit ho gaye hain agar aapne nahi kiya to is number par call karein phone_num_token aur apna otp batayein
"Credit Card Department: Your credit limit has been increased from 50,000 to 3,00,000 INR. Activate new limit by clicking http://card-limit-boost.com",1,credit card department your credit limit has been increased from 50 000 to currency_amount_token activate new limit by clicking http_url_token
"Dear user, you have an unpaid traffic challan of Rs 1,000 for vehicle DL01AB1234. Pay immediately at http://echallan-parivahan-pay.info to avoid court summons.",1,dear user you have an unpaid traffic challan of currency_amount_token for vehicle dl01ab1234 pay immediately at http_url_token to avoid court summons
"Urgent: Your EPF provident fund claim of Rs 65,000 has been approved. Submit your bank account details and OTP at http://epfindia-claim-portal.top",1,urgent your epf provident fund claim of currency_amount_token has been approved submit your bank account details and otp at http_url_token
"Dear customer, congratulations! Your mobile number won 5,00,000 INR in Diwali Bumper Draw. Contact manager at 9988776655 with promo code WIN500.",1,dear customer congratulations your mobile number won currency_amount_token in diwali bumper draw contact manager at phone_num_token with promo code win500
"Dear customer, your HDFC bank debit card is expiring this month. Request new zero-fee card by confirming OTP and PIN at http://hdfc-card-renew.site",1,dear customer your hdfc bank debit card is expiring this month request new zero fee card by confirming otp and pin at http_url_token
Aapka ration card block ho gaya hai. Dobara chalu karwane ke liye is link par form bharein http://ration-card-online.org aur fees jama karein.,1,aapka ration card block ho gaya hai dobara chalu karwane ke liye is link par form bharein http_url_token aur fees jama karein
"Dear traveler, your flight ticket has been cancelled due to technical error. Click http://airline-refund-ticket.com/refund to claim instant 100% refund.",1,dear traveler your flight ticket has been cancelled due to technical error click http_url_token to claim instant 100 refund
"Dear user, Rs 15,000 has been credited to your Paytm wallet from Unknown. Click http://paytm-accept-money.xyz to accept or money will be reversed.",1,dear user currency_amount_token has been credited to your paytm wallet from unknown click http_url_token to accept or money will be reversed
"Emergency: Hospital billing department. Your relative was admitted in casualty. Please transfer 10,000 advance immediately to hospital-desk@upi.",1,emergency hospital billing department your relative was admitted in casualty please transfer 10 000 advance immediately to upi_handle_token
"Dear customer, your electricity meter inspection failed. Pay penalty of Rs 2,500 within 2 hours or power will be cut off. Call 9811223344.",1,dear customer your electricity meter inspection failed pay penalty of currency_amount_token within 2 hours or power will be cut off call phone_num_token
"Bank Fraud Alert: Someone requested to change registered mobile number on your Kotak account. If not requested by you, call immediately at 9871234560.",1,bank fraud alert someone requested to change registered mobile number on your kotak account if not requested by you call immediately at phone_num_token
Your Amazon order #402-8921892 has been shipped via BlueDart. Track package at https://www.amazon.in/orders. Delivery expected tomorrow by 8 PM.,0,your amazon order phone_num_token has been shipped via bluedart track package at http_url_token delivery expected tomorrow by 8 pm
Your OTP for logging into Swiggy is 739218. Valid for 5 minutes. Do not share this OTP with anyone.,0,your otp for logging into swiggy is digit_code_token valid for 5 minutes do not share this otp with anyone
"Dear Customer, INR 1,500.00 debited from your HDFC Bank account ending 4821 on 24-AUG-26 at RELIANCE RETAIL. Available balance: INR 34,210.50.",0,dear customer currency_amount_token 1 500 00 debited from your hdfc bank account ending digit_code_token on 24 aug 26 at reliance retail available balance currency_amount_token
"Hi Rahul, are we still meeting for coffee at Starbucks at 4 PM today? Let me know if you are running late.",0,hi rahul are we still meeting for coffee at starbucks at 4 pm today let me know if you are running late
"Your Uber ride is arriving in 3 mins. Driver: Ramesh (Maruti Dzire, DL 3C AY 4521). PIN for the ride is 8192.",0,your uber ride is arriving in 3 mins driver ramesh maruti dzire dl 3c ay digit_code_token pin for the ride is digit_code_token
"Dear Customer, your electricity bill of Rs 1,420 for month AUG-26 is generated. Due date is 05-SEP-26. View bill on official BSES portal or app.",0,dear customer your electricity bill of currency_amount_token for month aug 26 is generated due date is 05 sep 26 view bill on official bses portal or app
"Your appointment with Dr. Sharma at Apollo Clinic is confirmed for tomorrow, Aug 25 at 11:30 AM. Please arrive 10 minutes early.",0,your appointment with dr sharma at apollo clinic is confirmed for tomorrow aug 25 at 11 30 am please arrive 10 minutes early
Reminder: Your monthly gym membership at Cult.fit is due for renewal on 01-Sep. Manage your subscription in the Cult.fit app.,0,reminder your monthly gym membership at cult fit is due for renewal on 01 sep manage your subscription in the cult fit app
"Dear Student, your semester grade report for Summer 2026 has been published on the university student portal. Login to view your grades.",0,dear student your semester grade report for summer digit_code_token has been published on the university student portal login to view your grades
"Hey, can you please send me the presentation slides for tomorrow's team sync? Thanks!",0,hey can you please send me the presentation slides for tomorrow s team sync thanks
Your food order from Behrouz Biryani is being prepared. Estimated delivery time: 35 minutes. Track in the Zomato app.,0,your food order from behrouz biryani is being prepared estimated delivery time 35 minutes track in the zomato app
"Dear Customer, your salary of INR 75,000.00 has been credited to your ICICI Bank account ending 9012 on 31-JUL-26. Ref: SAL/JUL26.",0,dear customer your salary of currency_amount_token has been credited to your icici bank account ending digit_code_token on 31 jul 26 ref sal jul26
Your Indigo flight 6E-204 from Delhi to Bangalore is on schedule. Web check-in is now open at https://www.goindigo.in,0,your indigo flight 6e 204 from delhi to bangalore is on schedule web check in is now open at http_url_token
"Hi dad, I reached Mumbai safely. The flight was smooth. Heading to the hotel now, will call you in an hour.",0,hi dad i reached mumbai safely the flight was smooth heading to the hotel now will call you in an hour
"Your OTP for verifying your email address on GitHub is 392811. If you did not request this, please review your account security.",0,your otp for verifying your email address on github is digit_code_token if you did not request this please review your account security
"Dear Customer, Thank you for visiting Reliance Digital. Your invoice #INV-98219 has been sent to your registered email address.",0,dear customer thank you for visiting reliance digital your invoice inv digit_code_token has been sent to your registered email address
"Hi team, please find the minutes of today's architecture review meeting in the attached shared Google Doc. Let me know if anything was missed.",0,hi team please find the minutes of today s architecture review meeting in the attached shared google doc let me know if anything was missed
Your Zepto grocery order of 6 items has been packed and is out for delivery. Arriving in 8 minutes.,0,your zepto grocery order of 6 items has been packed and is out for delivery arriving in 8 minutes
"Dear Customer, your mobile postpaid bill for 9810012345 is Rs 589.90. Auto-pay is scheduled for 28-AUG-26 from your registered bank account.",0,dear customer your mobile postpaid bill for phone_num_token is currency_amount_token auto pay is scheduled for 28 aug 26 from your registered bank account
"Hey Priya, happy birthday! Wishing you a wonderful year ahead filled with happiness and success. Let's catch up this weekend!",0,hey priya happy birthday wishing you a wonderful year ahead filled with happiness and success let s catch up this weekend
"Your Urban Company home cleaning service is scheduled for Saturday, 29-Aug at 10:00 AM. Partner: Deepak Kumar.",0,your urban company home cleaning service is scheduled for saturday 29 aug at 10 00 am partner deepak kumar
"Dear Customer, 500 reward points have been credited to your IOCL XtraRewards card for your recent fuel purchase of Rs 2,000.",0,dear customer 500 reward points have been credited to your iocl xtrarewards card for your recent fuel purchase of currency_amount_token
"Hi Arjun, did you get a chance to review the pull request on the auth-service repo? We need to merge it before tomorrow's release.",0,hi arjun did you get a chance to review the pull request on the auth service repo we need to merge it before tomorrow s release
Your Flipkart order containing 'Noise Smartwatch' has been delivered. Please rate your delivery experience in the Flipkart app.,0,your flipkart order containing noise smartwatch has been delivered please rate your delivery experience in the flipkart app
"Hello, this is a reminder from Max Healthcare that your dental checkup is scheduled for Thursday at 4 PM.",0,hello this is a reminder from max healthcare that your dental checkup is scheduled for thursday at 4 pm
"Dear Customer, your SBI mutual fund SIP of Rs 5,000 has been successfully processed for the month of August 2026.",0,dear customer your sbi mutual fund sip of currency_amount_token has been successfully processed for the month of august digit_code_token
Good morning! Just checking if we can reschedule our weekly 1-on-1 meeting to 3 PM today due to a client call.,0,good morning just checking if we can reschedule our weekly 1 on 1 meeting to 3 pm today due to a client call
"Your IRCTC ticket for Train 12952 / Mumbai Rajdhani is confirmed. Coach B3, Berth 45 (Side Lower). Departure: 16:55 from New Delhi.",0,your irctc ticket for train digit_code_token mumbai rajdhani is confirmed coach b3 berth 45 side lower departure 16 55 from new delhi
"Dear Customer, your annual vehicle insurance policy with ICICI Lombard has been renewed successfully. Policy document sent to email.",0,dear customer your annual vehicle insurance policy with icici lombard has been renewed successfully policy document sent to email
"Hi mom, don't cook dinner tonight. I'm bringing pizzas on the way back from office.",0,hi mom don t cook dinner tonight i m bringing pizzas on the way back from office
Your Google Cloud monthly invoice for July 2026 is now available. Amount charged: $14.20. View details in GCP Console.,0,your google cloud monthly invoice for july digit_code_token is now available amount charged currency_amount_token view details in gcp console
"Dear Customer, thank you for paying your broadband bill of Rs 999. Your transaction ID is TXN89218721.",0,dear customer thank you for paying your broadband bill of currency_amount_token your transaction id is txn89218721
"Hey, are you free this Sunday for a badminton match at the community club?",0,hey are you free this sunday for a badminton match at the community club
Your Blinkit order has been delivered at your doorstep. Thank you for shopping with us.,0,your blinkit order has been delivered at your doorstep thank you for shopping with us
"Dear Customer, your credit card statement for period ending 15-AUG is generated. Total amount due: Rs 8,450. Minimum due: Rs 500.",0,dear customer your credit card statement for period ending 15 aug is generated total amount due currency_amount_token minimum due currency_amount_token
"Hi everyone, the office will remain closed on Friday on account of the public holiday. Have a great long weekend!",0,hi everyone the office will remain closed on friday on account of the public holiday have a great long weekend
Your OTP for Aadhaar authentication at e-KYC service is 829103. Valid for 10 mins. UIDAI never calls to ask for OTP.,0,your otp for aadhaar authentication at e kyc service is digit_code_token valid for 10 mins uidai never calls to ask for otp
"Dear User, you have successfully updated your communication address in Kotak NetBanking on 22-AUG-2026.",0,dear user you have successfully updated your communication address in kotak netbanking on 22 aug digit_code_token
"Hey Rohan, I left my notebook at your place yesterday. Can you bring it to college tomorrow?",0,hey rohan i left my notebook at your place yesterday can you bring it to college tomorrow
"Your BookMyShow ticket for 'Inception IMAX 70mm' is confirmed. Audi 2, Seats F12-F13. Show starts at 7:30 PM.",0,your bookmyshow ticket for inception imax 70mm is confirmed audi 2 seats f12 f13 show starts at 7 30 pm
"Dear Customer, your fixed deposit of Rs 1,00,000 with Axis Bank has matured. Proceeds credited to your savings account.",0,dear customer your fixed deposit of currency_amount_token with axis bank has matured proceeds credited to your savings account
"Hi, thanks for connecting on LinkedIn. I would love to learn more about your team's work on machine learning systems.",0,hi thanks for connecting on linkedin i would love to learn more about your team s work on machine learning systems
Your Tata 1mg medicine order has been verified by the pharmacist and dispatched. Expected delivery by 6 PM.,0,your tata 1mg medicine order has been verified by the pharmacist and dispatched expected delivery by 6 pm
"Good evening, please find attached the revised budget spreadsheet for Q3. Let's discuss in tomorrow morning's standup.",0,good evening please find attached the revised budget spreadsheet for q3 let s discuss in tomorrow morning s standup
"Dear Subscriber, your monthly Spotify Premium family plan has been renewed. Next billing date is 25-SEP-2026.",0,dear subscriber your monthly spotify premium family plan has been renewed next billing date is 25 sep digit_code_token
